Location;Year;New Cases;New Deaths;New Recovered;New Active Cases;Total Cases;Total Deaths;Total Recovered;Total Active Cases;tourist;Jumlah Penduduk;GDP 
Aceh;2017;0;0;0;0;0;0;0;0;4410969;516900;2809671
Aceh;2018;0;0;0;0;0;0;0;0;6518831;52434;2952125
Aceh;2019;0;0;0;0;0;0;0;0;25523219;53163;3087906
Aceh;2020;8746;358;7139;1249;821156;31871;565662;223623;4741268;52749;3163338
Aceh;2021;29684;1708;29222;-1246;8188860;388540;7012236;788084;7483957;53337;3915601
Aceh;2022;5608;157;5351;100;10952164;560502;10307316;84346;5632315;54079;3468092
Bali;2017;0;0;0;0;0;0;0;0;8143614;42560;5016707
Bali;2018;0;0;0;0;0;0;0;0;6621617;43092;5443346
Bali;2019;0;0;0;0;0;0;0;0;13767578;43620;5775596
Bali;2020;17593;516;16144;933;1662875;33927;1012527;616421;11132389;43174;5554466
Bali;2021;96796;3545;94126;-875;25438099;826825;23615284;995990;7874397;43627;5201545
Bali;2022;52442;670;51356;416;39146649;1156600;37447204;542845;9009667;44151;505342
Banten;2017;0;0;0;0;0;0;0;0;9551703;123450;4527558
Banten;2018;0;0;0;0;0;0;0;0;13275125;125308;4837015
Banten;2019;0;0;0;0;0;0;0;0;30709360;127143;5201399
Banten;2020;18154;520;15583;2051;1345961;48732;1169769;127460;48935825;119046;6099014
Banten;2021;114672;2169;114435;-1932;29380889;633981;27307122;1439786;38396859;120615;552078
Banten;2022;201049;256;198354;2439;69871167;743906;66846320;2280941;30449271;122520;527294
Bengkulu;2017;0;0;0;0;0;0;0;0;1950249;19249;3135948
Bengkulu;2018;0;0;0;0;0;0;0;0;2018556;19486;3382213
Bengkulu;2019;0;0;0;0;0;0;0;0;6096569;19718;3656529
Bengkulu;2020;3603;112;2555;936;186667;8601;130181;47885;1460728;20107;365525
Bengkulu;2021;19502;361;20076;-935;4981672;103574;4581901;296197;1639658;20329;3915638
Bengkulu;2022;6068;49;5986;33;7179143;130882;6930516;117745;1988998;20601;4374171
DKI Jakarta;2017;0;0;0;0;0;0;0;0;24840040;103483;22800273
DKI Jakarta;2018;0;0;0;0;0;0;0;0;24967080;104280;24767849
DKI Jakarta;2019;0;0;0;0;0;0;0;0;57494172;105041;26805225
DKI Jakarta;2020;183697;3250;164665;15782;14982866;365486;12546318;2071062;51705258;105621;27451939
DKI Jakarta;2021;681563;10339;686496;-15272;218684767;3449722;209621476;5613569;44352288;106097;26261517
DKI Jakarta;2022;547214;1904;534898;10412;312138414;3857538;304306302;3974574;63081040;106800;29835997
Daerah Istimewa Yogyakarta;2017;0;0;0;0;0;0;0;0;6498739;37682;3166492
Daerah Istimewa Yogyakarta;2018;0;0;0;0;0;0;0;0;7858137;38183;3413693
Daerah Istimewa Yogyakarta;2019;0;0;0;0;0;0;0;0;16060595;38686;3645973
Daerah Istimewa Yogyakarta;2020;12155;259;8175;3721;636852;15388;460028;161436;24551526;36687;402404
Daerah Istimewa Yogyakarta;2021;144842;5010;143447;-3615;32059170;991331;28481994;2585845;22474988;37129;3769364
Daerah Istimewa Yogyakarta;2022;67310;659;66088;563;53394185;1478101;50637755;1278329;18888517;37619;4404464
Gorontalo;2017;0;0;0;0;0;0;0;0;1206547;11556;2956512
Gorontalo;2018;0;0;0;0;0;0;0;0;938557;11661;3182762
Gorontalo;2019;0;0;0;0;0;0;0;0;2589209;11764;3497665
Gorontalo;2020;3840;104;3307;429;434123;12339;380751;41033;1619987;11717;3988678
Gorontalo;2021;8009;357;8080;-428;2856594;98580;2641763;116251;945856;11810;3569326
Gorontalo;2022;2102;26;2046;30;3455449;122727;3299037;33685;1299319;11927;3717055
Jambi;2017;0;0;0;0;0;0;0;0;1906593;34870;10584477
Jambi;2018;0;0;0;0;0;0;0;0;2242802;35271;11038490
Jambi;2019;0;0;0;0;0;0;0;0;10721877;35662;11122701
Jambi;2020;3227;56;2318;853;186111;3500;111910;70701;3892005;35482;760964
Jambi;2021;26565;727;26675;-837;6133816;141966;5478345;513505;3066614;35851;6472982
Jambi;2022;8851;106;8684;61;9380702;220649;9073766;86287;2399034;36311;5795773
Jawa Barat;2017;0;0;0;0;0;0;0;0;43779162;479220;3722311
Jawa Barat;2018;0;0;0;0;0;0;0;0;53203387;484755;4027264
Jawa Barat;2019;0;0;0;0;0;0;0;0;107451428;490232;4330919
Jawa Barat;2020;90216;1446;74920;13850;5826920;121759;4173023;1532138;90818341;482742;4323651
Jawa Barat;2021;618634;13310;618648;-13324;165334087;2959255;152159878;10214954;97358488;487824;4519376
Jawa Barat;2022;464881;1181;450730;12970;268035046;4016236;256542031;7476779;128667116;494058;4903841
Jawa Tengah;2017;0;0;0;0;0;0;0;0;41182591;341564;3423431
Jawa Tengah;2018;0;0;0;0;0;0;0;0;43110598;343585;3677096
Jawa Tengah;2019;0;0;0;0;0;0;0;0;59838282;345525;3938815
Jawa Tengah;2020;82546;3620;56461;22465;6052461;333024;4253548;1465889;118895290;365160;3696478
Jawa Tengah;2021;404369;26754;399323;-21708;112663516;6247389;97972757;8443370;134782286;367425;3864698
Jawa Tengah;2022;149494;3106;145722;666;154330529;8391617;144005744;1933168;103991668;370324;4214954
Jawa Timur;2017;0;0;0;0;0;0;0;0;43689273;392873;5122845
Jawa Timur;2018;0;0;0;0;0;0;0;0;53244287;395219;5541061
Jawa Timur;2019;0;0;0;0;0;0;0;0;99579825;397448;5901517
